set_id,set_size,x_center,y_center,x_rel,y_rel,x_min,x_max,y_min,y_max,sap,sape,sapend,smp
S086,13,4945.231,980.154,0.524081,0.14684,4908.0,4983.0,891.0,1066.0,8,2,2,1
S087,6,4927.167,1277.0,0.522167,0.191311,4917.0,4937.5,1239.5,1317.0,1,2,2,1
S088,6,4927.0,1375.75,0.522149,0.206105,4917.0,4937.0,1340.0,1412.0,1,2,2,1
S089,19,5016.026,1702.947,0.531584,0.255123,5016.0,5016.5,1375.5,2033.0,14,2,2,1
S090,19,5036.0,1690.395,0.533701,0.253243,5036.0,5036.0,1363.5,2020.5,14,2,2,1
S091,19,5085.105,1846.526,0.538905,0.276633,5075.5,5095.5,1678.0,1995.0,14,2,2,1
S092,11,5086.455,1571.455,0.539048,0.235424,5076.0,5095.5,1490.5,1666.0,6,2,2,1
S093,5,5091.0,1164.2,0.539529,0.174412,5077.0,5111.0,1130.0,1191.0,0,2,2,1
S094,11,5135.0,1793.5,0.544192,0.268689,5135.0,5135.0,1632.0,1957.5,6,2,2,1
S095,11,5155.0,1780.864,0.546312,0.266796,5155.0,5155.0,1619.5,1945.0,6,2,2,1
S096,5,5188.4,889.6,0.549852,0.133273,5168.0,5211.0,847.0,920.0,0,2,2,1
S097,19,5260.184,1166.947,0.557459,0.174824,5188.0,5306.0,1043.0,1285.0,14,2,2,1
S098,9,5256.778,979.833,0.557098,0.146792,5214.0,5295.0,936.0,1030.0,4,2,2,1
S099,13,5284.269,1766.846,0.560012,0.264696,5273.5,5293.5,1678.5,1860.0,8,2,2,1
S100,19,5523.526,1147.263,0.585367,0.171875,5340.0,5634.0,1110.5,1177.0,14,2,2,1
S101,19,5508.474,1214.5,0.583772,0.181948,5344.0,5635.0,1183.0,1248.0,14,2,2,1
S102,5,5418.7,984.6,0.574258,0.147506,5350.0,5463.0,944.5,1008.0,0,2,2,1
S103,9,5461.611,1032.111,0.578806,0.154623,5355.5,5540.5,1016.0,1045.0,4,2,2,1
S104,19,5427.789,2445.158,0.575221,0.366316,5370.0,5511.0,2393.0,2513.5,14,2,2,1
S105,19,5480.737,1079.053,0.580833,0.161656,5371.5,5594.0,1050.5,1109.5,14,2,2,1
S106,19,5502.882,2156.895,0.583179,0.32313,5372.5,5670.0,2117.5,2201.0,14,2,2,1
S107,19,5501.921,1887.921,0.583078,0.282835,5373.0,5670.0,1853.0,1930.0,14,2,2,1
S108,19,5503.921,1977.684,0.58329,0.296282,5373.0,5670.0,1939.0,2018.0,14,2,2,1
S109,19,5491.474,2068.105,0.581971,0.309829,5373.0,5670.0,2019.0,2105.5,14,2,2,1
S110,19,5507.105,2243.289,0.583627,0.336073,5373.0,5670.0,2203.0,2282.0,14,2,2,1
S111,19,5492.526,2331.974,0.582082,0.349359,5373.0,5670.0,2291.0,2382.0,14,2,2,1
S112,19,5539.421,1285.921,0.587052,0.192647,5382.0,5652.0,1253.0,1324.0,14,2,2,1
S113,13,5505.077,1812.577,0.583412,0.271547,5392.0,5669.5,1766.0,1843.0,8,2,2,1
S114,19,5595.658,1380.526,0.593012,0.20682,5440.0,5681.0,1327.0,1454.0,14,2,2,1
S115,5,5820.0,1922.5,0.616787,0.288015,5808.0,5828.0,1895.5,1952.0,0,2,2,1
