symbol_id,shape,x,y,x_rel,y_rel,hits
P1477,circle,1948.0,3986.0,0.206443,0.597154,1
P1478,circle,1473.0,3991.0,0.156104,0.597903,1
P1479,circle,6422.0,3991.0,0.680585,0.597903,1
P1480,circle,1413.0,3994.0,0.149746,0.598352,1
P1481,circle,4739.0,3994.0,0.502226,0.598352,1
P1482,circle,1928.0,3998.0,0.204324,0.598951,1
P1483,circle,1453.0,4003.5,0.153985,0.599775,1
P1484,circle,1394.0,4006.0,0.147732,0.60015,1
P1485,circle,1869.0,4006.0,0.198071,0.60015,1
P1486,circle,1809.0,4007.5,0.191713,0.600375,1
P1487,circle,6521.0,4012.0,0.691077,0.601049,1
P1488,circle,1789.5,4019.0,0.189646,0.602097,1
P1489,circle,1849.0,4019.0,0.195952,0.602097,1
P1490,circle,6442.0,4019.0,0.682705,0.602097,1
P1491,circle,6501.0,4019.0,0.688957,0.602097,1
P1492,circle,4759.0,4026.0,0.504345,0.603146,1
P1493,circle,6422.0,4026.0,0.680585,0.603146,1
P1494,circle,6481.0,4026.0,0.686838,0.603146,1
P1495,circle,1473.0,4026.5,0.156104,0.603221,1
P1496,diamond,6580.0,4028.5,0.697329,0.603521,1
P1497,diamond,6560.5,4035.5,0.695263,0.604569,1
P1498,circle,1869.0,4036.0,0.198071,0.604644,1
P1499,circle,4739.0,4036.0,0.502226,0.604644,1
P1500,circle,1453.0,4039.0,0.153985,0.605094,1
P1501,circle,1809.0,4043.0,0.191713,0.605693,1
P1502,diamond,1928.0,4043.5,0.204324,0.605768,1
P1503,diamond,6520.5,4045.0,0.691024,0.605993,1
P1504,diamond,1349.0,4048.0,0.142963,0.606442,1
P1505,circle,1849.0,4048.5,0.195952,0.606517,1
P1506,diamond,6501.0,4052.5,0.688957,0.607116,1
P1507,circle,1790.0,4055.0,0.189699,0.607491,1
P1508,diamond,1908.0,4056.0,0.202204,0.60764,1
P1509,circle,6580.0,4057.0,0.697329,0.60779,1
P1510,diamond,6481.5,4060.0,0.686891,0.60824,1
P1511,circle,6442.0,4060.5,0.682705,0.608315,1
P1512,circle,1473.0,4062.0,0.156104,0.608539,1
P1513,circle,4759.0,4062.0,0.504345,0.608539,1
P1514,circle,6560.0,4064.0,0.69521,0.608839,1
P1515,circle,6422.0,4068.0,0.680585,0.609438,1
P1516,diamond,1888.5,4069.5,0.200138,0.609663,1
P1517,circle,1928.0,4070.0,0.204324,0.609738,1
P1518,circle,4739.0,4071.5,0.502226,0.609963,1
P1519,circle,1809.0,4073.0,0.191713,0.610187,1
P1520,circle,1453.0,4075.0,0.153985,0.610487,1
P1521,circle,6521.0,4079.0,0.691077,0.611086,1
P1522,diamond,1869.0,4082.0,0.198071,0.611536,1
P1523,circle,1908.0,4083.0,0.202204,0.611685,1
P1524,circle,1790.0,4085.0,0.189699,0.611985,1
P1525,circle,6501.0,4086.0,0.688957,0.612135,1
P1526,circle,1473.0,4092.0,0.156104,0.613034,1
P1527,circle,6580.0,4092.0,0.697329,0.613034,1
P1528,circle,6481.0,4093.0,0.686838,0.613184,1
P1529,circle,1888.5,4096.0,0.200138,0.613633,1
P1530,circle,6442.0,4096.0,0.682705,0.613633,1
P1531,diamond,1849.0,4099.0,0.195952,0.614082,1
P1532,circle,6560.0,4100.0,0.69521,0.614232,1
P1533,circle,4759.0,4103.5,0.504345,0.614757,1
P1534,circle,6422.0,4103.5,0.680585,0.614757,1
P1535,circle,1453.0,4105.0,0.153985,0.614981,1
P1536,circle,1928.0,4106.0,0.204324,0.615131,1
P1537,circle,1869.0,4108.5,0.198071,0.615506,1
P1538,circle,4739.0,4113.0,0.502226,0.61618,1
P1539,circle,6521.0,4114.0,0.691077,0.61633,1
P1540,circle,1908.0,4118.0,0.202204,0.616929,1
P1541,circle,6501.0,4121.5,0.688957,0.617453,1
P1542,circle,1473.0,4122.0,0.156104,0.617528,1
P1543,circle,1849.0,4125.5,0.195952,0.618052,1
P1544,circle,1888.5,4126.0,0.200138,0.618127,1
P1545,circle,6580.0,4128.0,0.697329,0.618427,1
P1546,circle,6481.0,4129.0,0.686838,0.618577,1
P1547,circle,1453.0,4134.5,0.153985,0.619401,1
