block_number,row,tracker,total_piers,HAP,HMP,SAP,SAPE,SAPEND,SMP,pier_labels
1,114,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,114,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,115,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,115,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,116,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,116,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,117,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,117,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,118,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,118,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,119,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,119,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,120,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,120,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,121,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,121,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,122,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,122,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,123,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,123,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,124,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,125,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,126,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,127,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,128,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,129,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,130,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,131,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,132,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,133,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,134,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,135,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,136,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,137,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,138,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,139,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,S1,1,1,1,0,0,0,0,0,P1
1,S2,1,1,1,0,0,0,0,0,P1
1,S3,1,2,2,0,0,0,0,0,P1 P2
1,S4,1,2,2,0,0,0,0,0,P1 P2
1,S5,1,2,2,0,0,0,0,0,P1 P2
1,S6,1,1,1,0,0,0,0,0,P1
1,S7,1,2,1,0,0,1,0,0,P1 P2
1,S8,1,1,1,0,0,0,0,0,P1
1,S9,1,1,1,0,0,0,0,0,P1
1,S10,1,1,0,0,0,1,0,0,P1
1,S11,1,2,2,0,0,0,0,0,P1 P2
1,S11,2,2,0,0,0,2,0,0,P1 P2
1,S12,1,1,1,0,0,0,0,0,P1
1,S12,2,2,1,0,0,1,0,0,P1 P2
1,S13,1,1,0,0,0,1,0,0,P1
1,S13,2,2,2,0,0,0,0,0,P1 P2
1,S14,1,1,0,0,0,1,0,0,P1
1,S14,2,2,1,0,1,0,0,0,P1 P2
1,S15,1,2,0,0,0,2,0,0,P1 P2
1,S15,2,2,0,0,1,0,1,0,P1 P2
1,S16,1,1,0,0,0,1,0,0,P1
1,S16,2,1,0,0,0,0,1,0,P1
1,S17,1,2,0,0,0,2,0,0,P1 P2
1,S17,2,1,0,0,0,0,1,0,P1
1,S18,1,3,1,0,0,2,0,0,P1 P2 P7
1,S18,2,1,1,0,0,0,0,0,P1
1,S19,1,2,0,0,0,2,0,0,P1 P2
1,S19,2,1,1,0,0,0,0,0,P1
1,S20,1,2,0,0,0,2,0,0,P1 P2
1,S21,1,2,0,0,0,2,0,0,P1 P2
1,S22,1,1,0,0,0,1,0,0,P1
1,S23,1,2,2,0,0,0,0,0,P1 P2
1,S24,1,2,2,0,0,0,0,0,P1 P2
1,S25,1,1,1,0,0,0,0,0,P1
